URN,CTSURN,LatinName,EnglishName
urn:cite:chs:work.tlg0007_tlg062,urn:cts:greekLit:tlg0007.tlg062,"Comparatio Dionis Et Bruti","Comparison of Dion and Brutus"
urn:cite:chs:work.tlg0007_tlg043,urn:cts:greekLit:tlg0007.tlg043,"Comparatio Eumenis Et Sertorii","Comparison of Sertorius with Eumenes"
urn:cite:chs:work.tlg0007_tlg006,urn:cts:greekLit:tlg0007.tlg006,"Comparatio Lycurgi Et Numae","Comparison of Numa with Lycurgus"
urn:cite:chs:work.tlg0007_tlg034,urn:cts:greekLit:tlg0007.tlg034,"Comparatio Lysandri Et Sullae","Comparison of Lysander with Sulla"
urn:cite:chs:work.tlg0007_tlg040,urn:cts:greekLit:tlg0007.tlg040,"Comparatio Niciae Et Crassi","Comparison of Crassus with Nicias"
urn:cite:chs:work.tlg0007_tlg023,urn:cts:greekLit:tlg0007.tlg023,"Comparatio Pelopidae Et Marcelli","Comparison of Pelopidas with Marcellus"
urn:cite:chs:work.tlg0007_tlg014,urn:cts:greekLit:tlg0007.tlg014,"Comparatio Periclis Et Fabii Maximi","Comparison of Fabius with Pericles"
urn:cite:chs:work.tlg0007_tlg029,urn:cts:greekLit:tlg0007.tlg029,"Comparatio Philopoemenis Et Titi Flaminini","Comparison of Philopoemen with Flaminius"
urn:cite:chs:work.tlg0007_tlg009,urn:cts:greekLit:tlg0007.tlg009,"Comparatio Solonis Et Publicolae","Comparison of Poplicola with Solon"
urn:cite:chs:work.tlg0007_tlg003,urn:cts:greekLit:tlg0007.tlg003,"Comparatio Thesei Et Romuli","Comparison of Romulus with Theseus"
urn:cite:chs:work.tlg0007_tlg122,urn:cts:greekLit:tlg0007.tlg122,"Comparationis Aristophanis Et Menandri Compendium (853a- 854d)","Comparison between Aristophanes and Menander"
urn:cite:chs:work.tlg0007_tlg078,urn:cts:greekLit:tlg0007.tlg078,"Conjugalia Praecepta (138a- 146a)","Advice to Bride and Groom"
urn:cite:chs:work.tlg0007_tlg076,urn:cts:greekLit:tlg0007.tlg076,"Consolatio Ad Apollonium (101f- 122a)","Letter of Condolence to Apollonius"
urn:cite:chs:work.tlg0007_tlg111,urn:cts:greekLit:tlg0007.tlg111,"Consolatio Ad Uxorem (608a- 612b)","Consolation to his Wife"
urn:cite:chs:work.tlg0007_tlg039,urn:cts:greekLit:tlg0007.tlg039,Crassus,Crassus
urn:cite:chs:work.tlg0007_tlg087,urn:cts:greekLit:tlg0007.tlg087,"De Alexandri Magni Fortuna Aut Virtute (326d- 345b)","On the Fortune or Virtue of Alexander the Great"
urn:cite:chs:work.tlg0007_tlg073,urn:cts:greekLit:tlg0007.tlg073,"De Amicorum Multitudine (93a- 97b)","On Having Many Friends"
urn:cite:chs:work.tlg0007_tlg098,urn:cts:greekLit:tlg0007.tlg098,"De Amore Prolis (493a- 497e)","On Affection for Offspring"
urn:cite:chs:work.tlg0007_tlg134,urn:cts:greekLit:tlg0007.tlg134,"De Animae Procreatione In Timaeo (1012b- 1030c)","On the Birth of the Spirit in Timaeus"
urn:cite:chs:work.tlg0007_tlg072,urn:cts:greekLit:tlg0007.tlg072,"De Capienda Ex Inimicis Utilitate (86b- 92f)","How to Profit by One's Enemies"
urn:cite:chs:work.tlg0007_tlg095,urn:cts:greekLit:tlg0007.tlg095,"De Cohibenda Ira (452f- 464d)","On the Control of Anger"
urn:cite:chs:work.tlg0007_tlg138,urn:cts:greekLit:tlg0007.tlg138,"De Communibus Notitiis Adversus Stoicos (1058e- 1086b)","On Common Conceptions against the Stoics"
urn:cite:chs:work.tlg0007_tlg103,urn:cts:greekLit:tlg0007.tlg103,"De Cupiditate Divitiarum (523c- 528b)","On Love of Wealth"
urn:cite:chs:work.tlg0007_tlg102,urn:cts:greekLit:tlg0007.tlg102,"De Curiositate (515b- 523b)","On Being a Busybody"
urn:cite:chs:work.tlg0007_tlg092,urn:cts:greekLit:tlg0007.tlg092,"De Defectu Oraculorum (409e- 438d)","On the Obsolescence of Oracles"
