URN,CTSURN,LatinName,EnglishName
urn:cite:chs:work.tlg0010_tlg002,urn:cts:greekLit:tlg0010.tlg002,"In Callimachum (Orat. 18)","Against Callimachus"
urn:cite:chs:work.tlg0010_tlg001,urn:cts:greekLit:tlg0010.tlg001,"In Euthynum (Orat. 21)","Against Euthynus"
urn:cite:chs:work.tlg0010_tlg003,urn:cts:greekLit:tlg0010.tlg003,"In Lochitem (Orat. 20)","Against Lochites"
urn:cite:chs:work.tlg0010_tlg008,urn:cts:greekLit:tlg0010.tlg008,"In Sophistas (Orat. 13)","Against the Sophists"
urn:cite:chs:work.tlg0010_tlg014,urn:cts:greekLit:tlg0010.tlg014,"Nicocles (Orat. 3)",Nicocles
urn:cite:chs:work.tlg0010_tlg021,urn:cts:greekLit:tlg0010.tlg021,"Panathenaicus (Orat. 12)",Panathenaicus
urn:cite:chs:work.tlg0010_tlg011,urn:cts:greekLit:tlg0010.tlg011,"Panegyricus (Orat. 4)",Panegyricus
urn:cite:chs:work.tlg0010_tlg020,urn:cts:greekLit:tlg0010.tlg020,"Philippus (Orat. 5)",Philippus
urn:cite:chs:work.tlg0010_tlg012,urn:cts:greekLit:tlg0010.tlg012,"Plataicus (Orat. 14)",Plataicus
urn:cite:chs:work.tlg0010_tlg005,urn:cts:greekLit:tlg0010.tlg005,"Trapeziticus (Orat. 17)",Trapeziticus
urn:cite:chs:work.tlg0011_tlg003,urn:cts:greekLit:tlg0011.tlg003,Ajax,Ajax
urn:cite:chs:work.tlg0011_tlg002,urn:cts:greekLit:tlg0011.tlg002,Antigone,Antigone
urn:cite:chs:work.tlg0011_tlg005,urn:cts:greekLit:tlg0011.tlg005,Electra,Electra
urn:cite:chs:work.tlg0011_tlg007,urn:cts:greekLit:tlg0011.tlg007,"Oedipus Coloneus","Oedipus at Colonus"
urn:cite:chs:work.tlg0011_tlg004,urn:cts:greekLit:tlg0011.tlg004,"Oedipus Tyrannus","Oedipus the King"
urn:cite:chs:work.tlg0011_tlg006,urn:cts:greekLit:tlg0011.tlg006,Philoctetes,Philoctetes
urn:cite:chs:work.tlg0011_tlg001,urn:cts:greekLit:tlg0011.tlg001,Trachiniae,"Women of Trachis"
urn:cite:chs:work.tlg0012_tlg001,urn:cts:greekLit:tlg0012.tlg001,Ilias,"The Iliad"
urn:cite:chs:work.tlg0012_tlg002,urn:cts:greekLit:tlg0012.tlg002,Odyssea,"The Odyssey"
urn:cite:chs:work.tlg0013_tlg001,urn:cts:greekLit:tlg0013.tlg001,"Fragmenta Hymni In Bacchum","Fragments of Hymn to Dionysus"
urn:cite:chs:work.tlg0013_tlg016,urn:cts:greekLit:tlg0013.tlg016,"In Aesculapium","To Asclepius"
urn:cite:chs:work.tlg0013_tlg021,urn:cts:greekLit:tlg0013.tlg021,"In Apollinem","To Apollo"
urn:cite:chs:work.tlg0013_tlg003,urn:cts:greekLit:tlg0013.tlg003,"In Apollinem (Fort. Auctore Cynaetho Chio)","To Apollo"
urn:cite:chs:work.tlg0013_tlg007,urn:cts:greekLit:tlg0013.tlg007,"In Bacchum","To Dionysus"
urn:cite:chs:work.tlg0013_tlg026,urn:cts:greekLit:tlg0013.tlg026,"In Bacchum","To Dionysus"
urn:cite:chs:work.tlg0013_tlg002,urn:cts:greekLit:tlg0013.tlg002,"In Cererem","To Demeter"
urn:cite:chs:work.tlg0013_tlg013,urn:cts:greekLit:tlg0013.tlg013,"In Cererem","To Demeter"
urn:cite:chs:work.tlg0013_tlg009,urn:cts:greekLit:tlg0013.tlg009,"In Dianam","To Artemis"
urn:cite:chs:work.tlg0013_tlg027,urn:cts:greekLit:tlg0013.tlg027,"In Dianam","To Artemis"
urn:cite:chs:work.tlg0013_tlg017,urn:cts:greekLit:tlg0013.tlg017,"In Dioscuros","To Castor and Pollux"
urn:cite:chs:work.tlg0013_tlg033,urn:cts:greekLit:tlg0013.tlg033,"In Dioscuros","To Castor and Pollux"
urn:cite:chs:work.tlg0013_tlg015,urn:cts:greekLit:tlg0013.tlg015,"In Herculem","To Heracles"
urn:cite:chs:work.tlg0013_tlg023,urn:cts:greekLit:tlg0013.tlg023,"In Jovem","To Zeus"
urn:cite:chs:work.tlg0013_tlg012,urn:cts:greekLit:tlg0013.tlg012,"In Junonem","To Hera"
urn:cite:chs:work.tlg0013_tlg032,urn:cts:greekLit:tlg0013.tlg032,"In Lunam","To Selene"
urn:cite:chs:work.tlg0013_tlg008,urn:cts:greekLit:tlg0013.tlg008,"In Martem","To Ares"
urn:cite:chs:work.tlg0013_tlg014,urn:cts:greekLit:tlg0013.tlg014,"In Matrem Deorum","To the Mother of the Gods"
urn:cite:chs:work.tlg0013_tlg004,urn:cts:greekLit:tlg0013.tlg004,"In Mercurium","To Hermes"
urn:cite:chs:work.tlg0013_tlg018,urn:cts:greekLit:tlg0013.tlg018,"In Mercurium","To Hermes"
urn:cite:chs:work.tlg0013_tlg011,urn:cts:greekLit:tlg0013.tlg011,"In Minervam","To Athena"
urn:cite:chs:work.tlg0013_tlg028,urn:cts:greekLit:tlg0013.tlg028,"In Minervam","To Athena"
urn:cite:chs:work.tlg0013_tlg025,urn:cts:greekLit:tlg0013.tlg025,"In Musas Et Apollinem","To Apollo and the Muses"
urn:cite:chs:work.tlg0013_tlg022,urn:cts:greekLit:tlg0013.tlg022,"In Neptunum","To Poseidon"
urn:cite:chs:work.tlg0013_tlg019,urn:cts:greekLit:tlg0013.tlg019,"In Pana","To Pan"
urn:cite:chs:work.tlg0013_tlg031,urn:cts:greekLit:tlg0013.tlg031,"In Solem","To Helios"
urn:cite:chs:work.tlg0013_tlg030,urn:cts:greekLit:tlg0013.tlg030,"In Tellurem Matrem Omnium","To the Earth, Mother of All"
urn:cite:chs:work.tlg0013_tlg005,urn:cts:greekLit:tlg0013.tlg005,"In Venerem","To Aphrodite"
urn:cite:chs:work.tlg0013_tlg006,urn:cts:greekLit:tlg0013.tlg006,"In Venerem","To Aphrodite"
urn:cite:chs:work.tlg0013_tlg010,urn:cts:greekLit:tlg0013.tlg010,"In Venerem","To Aphrodite"
urn:cite:chs:work.tlg0013_tlg024,urn:cts:greekLit:tlg0013.tlg024,"In Vestam","To Hestia"
urn:cite:chs:work.tlg0013_tlg029,urn:cts:greekLit:tlg0013.tlg029,"In Vestam","To Hestia"
urn:cite:chs:work.tlg0013_tlg020,urn:cts:greekLit:tlg0013.tlg020,"In Volcanum","To Hephaestus"
urn:cite:chs:work.tlg0013_tlg034,urn:cts:greekLit:tlg0013.tlg034,"Εἰς Χένους","To Hosts"
urn:cite:chs:work.tlg0014_tlg022,urn:cts:greekLit:tlg0014.tlg022,"Adversus Androtionem","Against Androtion"
urn:cite:chs:work.tlg0014_tlg020,urn:cts:greekLit:tlg0014.tlg020,"Adversus Leptinem","Against Leptines"
urn:cite:chs:work.tlg0014_tlg033,urn:cts:greekLit:tlg0014.tlg033,"Contra Apatourium","Against Apatourius"
urn:cite:chs:work.tlg0014_tlg029,urn:cts:greekLit:tlg0014.tlg029,"Contra Aphobum","Against Aphobus"
urn:cite:chs:work.tlg0014_tlg039,urn:cts:greekLit:tlg0014.tlg039,"Contra Boeotum 1","Against Boeotus 1"
urn:cite:chs:work.tlg0014_tlg040,urn:cts:greekLit:tlg0014.tlg040,"Contra Boeotum 2","Against Boeotus 2"
urn:cite:chs:work.tlg0014_tlg055,urn:cts:greekLit:tlg0014.tlg055,"Contra Calliclem","Against Callicles"
urn:cite:chs:work.tlg0014_tlg052,urn:cts:greekLit:tlg0014.tlg052,"Contra Callippum","Against Callipus"
urn:cite:chs:work.tlg0014_tlg057,urn:cts:greekLit:tlg0014.tlg057,"Contra Eubulidem","Against Eubulides"
urn:cite:chs:work.tlg0014_tlg035,urn:cts:greekLit:tlg0014.tlg035,"Contra Lacritum","Against Lacritus"
urn:cite:chs:work.tlg0014_tlg044,urn:cts:greekLit:tlg0014.tlg044,"Contra Leocharem","Against Leochares"
urn:cite:chs:work.tlg0014_tlg043,urn:cts:greekLit:tlg0014.tlg043,"Contra Macartatum","Against Macartatus"
urn:cite:chs:work.tlg0014_tlg038,urn:cts:greekLit:tlg0014.tlg038,"Contra Nausimachum Et Xenopeithea","Against Nausimachus and Xenopeithes"
urn:cite:chs:work.tlg0014_tlg053,urn:cts:greekLit:tlg0014.tlg053,"Contra Nicostratum","Against Nicostratus"
urn:cite:chs:work.tlg0014_tlg030,urn:cts:greekLit:tlg0014.tlg030,"Contra Onetorem 1","Against Ontenor 1"
urn:cite:chs:work.tlg0014_tlg031,urn:cts:greekLit:tlg0014.tlg031,"Contra Onetorem 2","Against Ontenor 2"
urn:cite:chs:work.tlg0014_tlg037,urn:cts:greekLit:tlg0014.tlg037,"Contra Pantaenetum","Against Pantaenetus"
urn:cite:chs:work.tlg0014_tlg042,urn:cts:greekLit:tlg0014.tlg042,"Contra Phaenippum","Against Phaenippus"
urn:cite:chs:work.tlg0014_tlg034,urn:cts:greekLit:tlg0014.tlg034,"Contra Phormionem","Against Phormio"
urn:cite:chs:work.tlg0014_tlg050,urn:cts:greekLit:tlg0014.tlg050,"Contra Polyclem","Against Polycles"
urn:cite:chs:work.tlg0014_tlg041,urn:cts:greekLit:tlg0014.tlg041,"Contra Spudiam","Against Spudias"
urn:cite:chs:work.tlg0014_tlg049,urn:cts:greekLit:tlg0014.tlg049,"Contra Timotheum","Against Timotheus"
urn:cite:chs:work.tlg0014_tlg032,urn:cts:greekLit:tlg0014.tlg032,"Contra Zenothemin","Against Zenothemis"
urn:cite:chs:work.tlg0014_tlg008,urn:cts:greekLit:tlg0014.tlg008,"De Chersoneso","On the Chersonese"
urn:cite:chs:work.tlg0014_tlg018,urn:cts:greekLit:tlg0014.tlg018,"De Corona","On the Crown"
urn:cite:chs:work.tlg0014_tlg051,urn:cts:greekLit:tlg0014.tlg051,"De Corona Trierarchiae","On the Trieraric Crown"
urn:cite:chs:work.tlg0014_tlg019,urn:cts:greekLit:tlg0014.tlg019,"De Falsa Legatione","On the False Embassy"
urn:cite:chs:work.tlg0014_tlg007,urn:cts:greekLit:tlg0014.tlg007,"De Halonneso","On the Halonnesus"
urn:cite:chs:work.tlg0014_tlg005,urn:cts:greekLit:tlg0014.tlg005,"De Pace","On the Peace"
urn:cite:chs:work.tlg0014_tlg015,urn:cts:greekLit:tlg0014.tlg015,"De Rhodiorum Libertate","On the Liberty of the Rhodians"
urn:cite:chs:work.tlg0014_tlg063,urn:cts:greekLit:tlg0014.tlg063,Epistulae,Letters
urn:cite:chs:work.tlg0014_tlg060,urn:cts:greekLit:tlg0014.tlg060,Epitaphius,"Funeral Oration"
urn:cite:chs:work.tlg0014_tlg061,urn:cts:greekLit:tlg0014.tlg061,Eroticus,"Erotic Essay"
urn:cite:chs:work.tlg0014_tlg062,urn:cts:greekLit:tlg0014.tlg062,Exordia,Exordia
urn:cite:chs:work.tlg0014_tlg027,urn:cts:greekLit:tlg0014.tlg027,"In Aphobum 1","Against Aphobus 1"
urn:cite:chs:work.tlg0014_tlg028,urn:cts:greekLit:tlg0014.tlg028,"In Aphobum 2","Against Aphobus 2"
urn:cite:chs:work.tlg0014_tlg023,urn:cts:greekLit:tlg0014.tlg023,"In Aristocratem","Against Aristocrates"
urn:cite:chs:work.tlg0014_tlg025,urn:cts:greekLit:tlg0014.tlg025,"In Aristogitonem 1","Against Aristogiton 1"
urn:cite:chs:work.tlg0014_tlg026,urn:cts:greekLit:tlg0014.tlg026,"In Aristogitonem 2","Against Aristogiton 2"
urn:cite:chs:work.tlg0014_tlg054,urn:cts:greekLit:tlg0014.tlg054,"In Cononem","Against Conon"
urn:cite:chs:work.tlg0014_tlg056,urn:cts:greekLit:tlg0014.tlg056,"In Dionysodorum","Against Dionysodorus"
urn:cite:chs:work.tlg0014_tlg011,urn:cts:greekLit:tlg0014.tlg011,"In Epistulam Philippi","Reply to Philip"
urn:cite:chs:work.tlg0014_tlg047,urn:cts:greekLit:tlg0014.tlg047,"In Evergum Et Mnesibulum","Against Evergus and Mnesibulus"
urn:cite:chs:work.tlg0014_tlg021,urn:cts:greekLit:tlg0014.tlg021,"In Midiam","Against Meidias"
urn:cite:chs:work.tlg0014_tlg059,urn:cts:greekLit:tlg0014.tlg059,"In Neaeram","Against Naeara"
urn:cite:chs:work.tlg0014_tlg048,urn:cts:greekLit:tlg0014.tlg048,"In Olympiodorum","Against Olympiodorus"
urn:cite:chs:work.tlg0014_tlg045,urn:cts:greekLit:tlg0014.tlg045,"In Stephanum 1","Against Stephanus 1"
urn:cite:chs:work.tlg0014_tlg046,urn:cts:greekLit:tlg0014.tlg046,"In Stephanum 2","Against Stephanus 2"
urn:cite:chs:work.tlg0014_tlg058,urn:cts:greekLit:tlg0014.tlg058,"In Theocrinem","Against Theocrines"
urn:cite:chs:work.tlg0014_tlg024,urn:cts:greekLit:tlg0014.tlg024,"In Timocratem","Against Timocrates"
urn:cite:chs:work.tlg0014_tlg001,urn:cts:greekLit:tlg0014.tlg001,"Olynthiaca 1","Olynthiac 1"
urn:cite:chs:work.tlg0014_tlg002,urn:cts:greekLit:tlg0014.tlg002,"Olynthiaca 2","Olynthiac 2"
urn:cite:chs:work.tlg0014_tlg003,urn:cts:greekLit:tlg0014.tlg003,"Olynthiaca 3","Olynthiac 3"
urn:cite:chs:work.tlg0014_tlg004,urn:cts:greekLit:tlg0014.tlg004,"Philippica 1","First Phillippic"
urn:cite:chs:work.tlg0014_tlg006,urn:cts:greekLit:tlg0014.tlg006,"Philippica 2","Second Philippic"
urn:cite:chs:work.tlg0014_tlg009,urn:cts:greekLit:tlg0014.tlg009,"Philippica 3","Third Philippic"
urn:cite:chs:work.tlg0014_tlg010,urn:cts:greekLit:tlg0014.tlg010,"Philippica 4","Fourth Philippic"
urn:cite:chs:work.tlg0014_tlg016,urn:cts:greekLit:tlg0014.tlg016,"Pro Megalopolitanis","For the Megalopolitans"
urn:cite:chs:work.tlg0014_tlg036,urn:cts:greekLit:tlg0014.tlg036,"Pro Phormione","For Phormio"
urn:cite:chs:work.tlg0014_tlg012,urn:cts:greekLit:tlg0014.tlg012,"[Philippi] Epistula",Philip
urn:cite:chs:work.tlg0014_tlg013,urn:cts:greekLit:tlg0014.tlg013,"Περὶ Συντάξεως","On Organization"
urn:cite:chs:work.tlg0014_tlg014,urn:cts:greekLit:tlg0014.tlg014,"Περὶ τῶν Συμμοριῶν","On the Navy-Boards"
urn:cite:chs:work.tlg0014_tlg017,urn:cts:greekLit:tlg0014.tlg017,"Περὶ τῶν πρὸς Ἀλέξανδρον Συνθηκῶν","On the Accession of Alexander"
urn:cite:chs:work.tlg0015_tlg001,urn:cts:greekLit:tlg0015.tlg001,"Ab Excessu Divi Marci","History of the Empire after Marcus"
urn:cite:chs:work.tlg0016_tlg001,urn:cts:greekLit:tlg0016.tlg001,Historiae,"The Histories"
urn:cite:chs:work.tlg0017_tlg007,urn:cts:greekLit:tlg0017.tlg007,"De Apollodoro","On the Estate of Apollodorus"
urn:cite:chs:work.tlg0017_tlg010,urn:cts:greekLit:tlg0017.tlg010,"De Aristarcho","On the Estate of Aristarchus"
urn:cite:chs:work.tlg0017_tlg009,urn:cts:greekLit:tlg0017.tlg009,"De Astyphilo","On the Estate of Apollodorus"
urn:cite:chs:work.tlg0017_tlg008,urn:cts:greekLit:tlg0017.tlg008,"De Cirone","On the Estate of Ciron"
urn:cite:chs:work.tlg0017_tlg001,urn:cts:greekLit:tlg0017.tlg001,"De Cleonymo","On the Estate of Cleonymus"
urn:cite:chs:work.tlg0017_tlg005,urn:cts:greekLit:tlg0017.tlg005,"De Dicaeogene","On the Estate of Dicaeogenes"
urn:cite:chs:work.tlg0017_tlg011,urn:cts:greekLit:tlg0017.tlg011,"De Hagnia","On the Estate of Hagnias"
urn:cite:chs:work.tlg0017_tlg002,urn:cts:greekLit:tlg0017.tlg002,"De Menecle","On the Estate of Menecles"
urn:cite:chs:work.tlg0017_tlg004,urn:cts:greekLit:tlg0017.tlg004,"De Nicostrato","On the Estate of Nicostratus"
urn:cite:chs:work.tlg0017_tlg006,urn:cts:greekLit:tlg0017.tlg006,"De Philoctemone","On the Estate of Philoctemon"
urn:cite:chs:work.tlg0017_tlg003,urn:cts:greekLit:tlg0017.tlg003,"De Pyrrho","On the Estate of Pyrrhus"
urn:cite:chs:work.tlg0017_tlg012,urn:cts:greekLit:tlg0017.tlg012,"Pro Euphileto","On Behalf of Euphiletus"
urn:cite:chs:work.tlg0018_tlg020,urn:cts:greekLit:tlg0018.tlg020,"De Abrahamo","On Abraham"
urn:cite:chs:work.tlg0018_tlg029,urn:cts:greekLit:tlg0018.tlg029,"De Aeternitate Mundi","On the Eternity of the World"
urn:cite:chs:work.tlg0018_tlg009,urn:cts:greekLit:tlg0018.tlg009,"De Agricultura","On Husbandry"
urn:cite:chs:work.tlg0018_tlg003,urn:cts:greekLit:tlg0018.tlg003,"De Cherubim","On the Cherubim"
urn:cite:chs:work.tlg0018_tlg013,urn:cts:greekLit:tlg0018.tlg013,"De Confusione Linguarum","On the Confusion of Tongues"
urn:cite:chs:work.tlg0018_tlg016,urn:cts:greekLit:tlg0018.tlg016,"De Congressu Eruditionis Gratia","On Mating"
urn:cite:chs:work.tlg0018_tlg023,urn:cts:greekLit:tlg0018.tlg023,"De Decalogo","The Decalogue"
urn:cite:chs:work.tlg0018_tlg011,urn:cts:greekLit:tlg0018.tlg011,"De Ebrietate","On Drunkeness"
urn:cite:chs:work.tlg0018_tlg017,urn:cts:greekLit:tlg0018.tlg017,"De Fuga Et Inventione","On Flight and Finding"
urn:cite:chs:work.tlg0018_tlg007,urn:cts:greekLit:tlg0018.tlg007,"De Gigantibus","On the Giants"
urn:cite:chs:work.tlg0018_tlg021,urn:cts:greekLit:tlg0018.tlg021,"De Josepho","On Joseph"
urn:cite:chs:work.tlg0018_tlg014,urn:cts:greekLit:tlg0018.tlg014,"De Migratione Abrahami","On the Migration of Abraham"
urn:cite:chs:work.tlg0018_tlg018,urn:cts:greekLit:tlg0018.tlg018,"De Mutatione Nominum","On the Change of Names"
urn:cite:chs:work.tlg0018_tlg001,urn:cts:greekLit:tlg0018.tlg001,"De Opificio Mundi","On the Account of the World's Creation Given by Moses"
urn:cite:chs:work.tlg0018_tlg010,urn:cts:greekLit:tlg0018.tlg010,"De Plantatione","Concerning Noah's Work as a Planter"
urn:cite:chs:work.tlg0018_tlg006,urn:cts:greekLit:tlg0018.tlg006,"De Posteritate Caini","On the Posterity of Cain and His Exile"
urn:cite:chs:work.tlg0018_tlg026,urn:cts:greekLit:tlg0018.tlg026,"De Praemiis Et Poenis & De Exsecrationibus","On Rewards and Punishments"
urn:cite:chs:work.tlg0018_tlg004,urn:cts:greekLit:tlg0018.tlg004,"De Sacrificiis Abelis Et Caini","On the Sacrifices of Abel and Cain"
urn:cite:chs:work.tlg0018_tlg012,urn:cts:greekLit:tlg0018.tlg012,"De Sobrietate","On the Prayers and Curses of Noah (On Sobriety)"
urn:cite:chs:work.tlg0018_tlg019,urn:cts:greekLit:tlg0018.tlg019,"De Somniis (Lib. I-II)","On Dreams (Books 1-2)"
urn:cite:chs:work.tlg0018_tlg024,urn:cts:greekLit:tlg0018.tlg024,"De Specialibus Legibus (Lib. I-IV)","Om Special Laws (Books 1-4)"
urn:cite:chs:work.tlg0018_tlg025,urn:cts:greekLit:tlg0018.tlg025,"De Virtutibus","On the Virtues"
urn:cite:chs:work.tlg0018_tlg028,urn:cts:greekLit:tlg0018.tlg028,"De Vita Contemplativa","On the Contemplative Life"
urn:cite:chs:work.tlg0018_tlg022,urn:cts:greekLit:tlg0018.tlg022,"De Vita Mosis (Lib. I-II)","On the Life of Moses (Books 1-2)"
urn:cite:chs:work.tlg0018_tlg030,urn:cts:greekLit:tlg0018.tlg030,"In Flaccum",Flaccus
urn:cite:chs:work.tlg0018_tlg031,urn:cts:greekLit:tlg0018.tlg031,"Legatio Ad Gaium","On the Embassy to Gaius"
urn:cite:chs:work.tlg0018_tlg002,urn:cts:greekLit:tlg0018.tlg002,"Legum Allegoriarum Libri I-III","Allegorical Interpretation (Books 1-3)"
urn:cite:chs:work.tlg0018_tlg015,urn:cts:greekLit:tlg0018.tlg015,"Quis Rerum Divinarum Heres Sit","Who is the Heir of Divine Things?"
urn:cite:chs:work.tlg0018_tlg005,urn:cts:greekLit:tlg0018.tlg005,"Quod Deterius Potiori Insidiari Soleat","Worse is Wont to Attack Better"
urn:cite:chs:work.tlg0018_tlg008,urn:cts:greekLit:tlg0018.tlg008,"Quod Deus Sit Immutabilis","On the Unchangableness of God"
urn:cite:chs:work.tlg0018_tlg027,urn:cts:greekLit:tlg0018.tlg027,"Quod Omnis Probus Liber Sit","Every Good Man is Free"
urn:cite:chs:work.tlg0019_tlg001,urn:cts:greekLit:tlg0019.tlg001,Acharnenses,"The Acharnians"
urn:cite:chs:work.tlg0019_tlg006,urn:cts:greekLit:tlg0019.tlg006,Aves,"The Birds"
urn:cite:chs:work.tlg0019_tlg010,urn:cts:greekLit:tlg0019.tlg010,Ecclesiazusae,"The Assemblywomen"
urn:cite:chs:work.tlg0019_tlg002,urn:cts:greekLit:tlg0019.tlg002,Equites,"The Knights"
urn:cite:chs:work.tlg0019_tlg007,urn:cts:greekLit:tlg0019.tlg007,Lysistrata,Lysistrata
urn:cite:chs:work.tlg0019_tlg003,urn:cts:greekLit:tlg0019.tlg003,Nubes,"The Clouds"
urn:cite:chs:work.tlg0019_tlg005,urn:cts:greekLit:tlg0019.tlg005,Pax,Peace
urn:cite:chs:work.tlg0019_tlg011,urn:cts:greekLit:tlg0019.tlg011,Plutus,Wealth
urn:cite:chs:work.tlg0019_tlg009,urn:cts:greekLit:tlg0019.tlg009,Ranae,"The Frogs"
urn:cite:chs:work.tlg0019_tlg008,urn:cts:greekLit:tlg0019.tlg008,Thesmophoriazusae,"The Women Celebrating the Thesmophoria"
urn:cite:chs:work.tlg0019_tlg004,urn:cts:greekLit:tlg0019.tlg004,Vespae,"The Wasps"
urn:cite:chs:work.tlg0020_tlg002,urn:cts:greekLit:tlg0020.tlg002,"Opera Et Dies","Works and Days"
urn:cite:chs:work.tlg0020_tlg003,urn:cts:greekLit:tlg0020.tlg003,Scutum,Shield
urn:cite:chs:work.tlg0020_tlg001,urn:cts:greekLit:tlg0020.tlg001,Theogonia,Theogony
urn:cite:chs:work.tlg0022_tlg002,urn:cts:greekLit:tlg0022.tlg002,Alexipharmaca,Alexipharmaca
urn:cite:chs:work.tlg0022_tlg001,urn:cts:greekLit:tlg0022.tlg001,Theriaca,Theriaca
urn:cite:chs:work.tlg0023_tlg001,urn:cts:greekLit:tlg0023.tlg001,Halieutica,Halieutica
urn:cite:chs:work.tlg0024_tlg001,urn:cts:greekLit:tlg0024.tlg001,Cynegetica,Cynegetica
urn:cite:chs:work.tlg0026_tlg002,urn:cts:greekLit:tlg0026.tlg002,"De Falsa Legatione","On the False Embassy"
urn:cite:chs:work.tlg0026_tlg004,urn:cts:greekLit:tlg0026.tlg004,Epistulae,Letters
urn:cite:chs:work.tlg0026_tlg003,urn:cts:greekLit:tlg0026.tlg003,"In Ctesiphontem","Against Ctesiphon"
urn:cite:chs:work.tlg0026_tlg001,urn:cts:greekLit:tlg0026.tlg001,"In Timarchum","Against Timarchus"
urn:cite:chs:work.tlg0027_tlg001,urn:cts:greekLit:tlg0027.tlg001,"De Mysteriis","On the Mysteries"
urn:cite:chs:work.tlg0027_tlg003,urn:cts:greekLit:tlg0027.tlg003,"De Pace","On the Peace with Sparta"
urn:cite:chs:work.tlg0027_tlg002,urn:cts:greekLit:tlg0027.tlg002,"De Reditu Suo","On His Return"
urn:cite:chs:work.tlg0027_tlg004,urn:cts:greekLit:tlg0027.tlg004,"In Alcibiadem","Against Alcibiades"
urn:cite:chs:work.tlg0028_tlg005,urn:cts:greekLit:tlg0028.tlg005,"De Caede Herodis","The Murder of Herodes"
urn:cite:chs:work.tlg0028_tlg006,urn:cts:greekLit:tlg0028.tlg006,"De Choreuta","On the Chorus Boy"
urn:cite:chs:work.tlg0028_tlg001,urn:cts:greekLit:tlg0028.tlg001,"In Novercam","Against the Stepmother"
urn:cite:chs:work.tlg0028_tlg002,urn:cts:greekLit:tlg0028.tlg002,"Tetralogia 1","First Tetralogy"
urn:cite:chs:work.tlg0028_tlg003,urn:cts:greekLit:tlg0028.tlg003,"Tetralogia 2","Second Tetralogy"
urn:cite:chs:work.tlg0028_tlg004,urn:cts:greekLit:tlg0028.tlg004,"Tetralogia 3","Third Tetralogy"
urn:cite:chs:work.tlg0029_tlg005,urn:cts:greekLit:tlg0029.tlg005,"In Aristogitonem","Against Aristogeiton"
urn:cite:chs:work.tlg0029_tlg004,urn:cts:greekLit:tlg0029.tlg004,"In Demosthenem","Against Demosthenes"
urn:cite:chs:work.tlg0029_tlg006,urn:cts:greekLit:tlg0029.tlg006,"In Philoclem","Against Philocles"
urn:cite:chs:work.tlg0032_tlg009,urn:cts:greekLit:tlg0032.tlg009,Agesilaus,Agesilaus
urn:cite:chs:work.tlg0032_tlg006,urn:cts:greekLit:tlg0032.tlg006,Anabasis,"The Persian Expedition"
urn:cite:chs:work.tlg0032_tlg005,urn:cts:greekLit:tlg0032.tlg005,"Apologia Socratis",Apology
urn:cite:chs:work.tlg0032_tlg015,urn:cts:greekLit:tlg0032.tlg015,"Atheniensium Respublica","Constitution of the Athenians"
urn:cite:chs:work.tlg0032_tlg014,urn:cts:greekLit:tlg0032.tlg014,Cynegeticus,"On Hunting"
urn:cite:chs:work.tlg0032_tlg007,urn:cts:greekLit:tlg0032.tlg007,Cyropaedia,"The Education of Cyrus"
urn:cite:chs:work.tlg0032_tlg013,urn:cts:greekLit:tlg0032.tlg013,"De Re Equestri","On Horsemanship"
urn:cite:chs:work.tlg0032_tlg010,urn:cts:greekLit:tlg0032.tlg010,"De Republica Lacedaemoniorum","Constitution of the Spartans"
urn:cite:chs:work.tlg0032_tlg011,urn:cts:greekLit:tlg0032.tlg011,"De Vectigalibus","Ways and Means"
urn:cite:chs:work.tlg0032_tlg001,urn:cts:greekLit:tlg0032.tlg001,Hellenica,Hellenica
urn:cite:chs:work.tlg0032_tlg008,urn:cts:greekLit:tlg0032.tlg008,Hiero,Hiero
urn:cite:chs:work.tlg0032_tlg012,urn:cts:greekLit:tlg0032.tlg012,Hipparchicus,"The Cavalry General"
urn:cite:chs:work.tlg0032_tlg002,urn:cts:greekLit:tlg0032.tlg002,Memorabilia,Memoirs
urn:cite:chs:work.tlg0032_tlg003,urn:cts:greekLit:tlg0032.tlg003,Oeconomicus,"On Household Management"
urn:cite:chs:work.tlg0032_tlg004,urn:cts:greekLit:tlg0032.tlg004,Symposium,Symposium
urn:cite:chs:work.tlg0033_chs01,urn:cts:greekLit:tlg0033.chs01,"Isthmian 1","Isthmian 1"
urn:cite:chs:work.tlg0033_chs02,urn:cts:greekLit:tlg0033.chs02,"Isthmian 2","Isthmian 2"
urn:cite:chs:work.tlg0033_chs03,urn:cts:greekLit:tlg0033.chs03,"Isthmian 3","Isthmian 3"
urn:cite:chs:work.tlg0033_chs04,urn:cts:greekLit:tlg0033.chs04,"Isthmian 4","Isthmian 4"
urn:cite:chs:work.tlg0033_chs05,urn:cts:greekLit:tlg0033.chs05,"Isthmian 5","Isthmian 5"
urn:cite:chs:work.tlg0033_chs06,urn:cts:greekLit:tlg0033.chs06,"Isthmian 6","Isthmian 6"
urn:cite:chs:work.tlg0033_chs07,urn:cts:greekLit:tlg0033.chs07,"Isthmian 7","Isthmian 7"
urn:cite:chs:work.tlg0033_chs08,urn:cts:greekLit:tlg0033.chs08,"Isthmian 8","Isthmian 8"
urn:cite:chs:work.tlg0033_chs09,urn:cts:greekLit:tlg0033.chs09,"Isthmian 9","Isthmian 9"
