URN,CTSURN,LatinName,EnglishName
urn:cite:chs:textgroup.tlg0531,urn:cts:greekLit:tlg0531:,Hermias,Hermias
urn:cite:chs:textgroup.tlg0532,urn:cts:greekLit:tlg0532:,"Achilles Tatius","Achilles Tatius"
urn:cite:chs:textgroup.tlg0533,urn:cts:greekLit:tlg0533:,Callimachus,Callimachus
urn:cite:chs:textgroup.tlg0537,urn:cts:greekLit:tlg0537:,Epicurus,Epicurus
urn:cite:chs:textgroup.tlg0540,urn:cts:greekLit:tlg0540:,Lysias,Lysias
urn:cite:chs:textgroup.tlg0541,urn:cts:greekLit:tlg0541:,Menander,Menander
urn:cite:chs:textgroup.tlg0542,urn:cts:greekLit:tlg0542:,"Julius Pollux","Julius Pollux"
urn:cite:chs:textgroup.tlg0543,urn:cts:greekLit:tlg0543:,Polybius,Polybius
urn:cite:chs:textgroup.tlg0544,urn:cts:greekLit:tlg0544:,"Sextus Empiricus","Sextus Empiricus"
urn:cite:chs:textgroup.tlg0545,urn:cts:greekLit:tlg0545:,"Claudius Aelianus",Aelian
urn:cite:chs:textgroup.tlg0546,urn:cts:greekLit:tlg0546:,Aelianus,Aelianus
urn:cite:chs:textgroup.tlg0547,urn:cts:greekLit:tlg0547:,Anaximenes,Anaximenes
urn:cite:chs:textgroup.tlg0548,urn:cts:greekLit:tlg0548:,Pseudo-Apollodorus,Pseudo-Apollodorus
urn:cite:chs:textgroup.tlg0550,urn:cts:greekLit:tlg0550:,Apollonius,"Apollonius (of Perga)"
urn:cite:chs:textgroup.tlg0551,urn:cts:greekLit:tlg0551:,Appianus,Appian
urn:cite:chs:textgroup.tlg0552,urn:cts:greekLit:tlg0552:,Archimedes,Archimedes
urn:cite:chs:textgroup.tlg0553,urn:cts:greekLit:tlg0553:,Artemidorus,Artemidorus
urn:cite:chs:textgroup.tlg0554,urn:cts:greekLit:tlg0554:,Chariton,Chariton
urn:cite:chs:textgroup.tlg0555,urn:cts:greekLit:tlg0555:,"Clemens Alexandrinus","Clement of Alexandria"
urn:cite:chs:textgroup.tlg0556,urn:cts:greekLit:tlg0556:,Asclepiodotus,"Asclepiodotus Tacticus"
urn:cite:chs:textgroup.tlg0557,urn:cts:greekLit:tlg0557:,Epictetus,Epictetus
urn:cite:chs:textgroup.tlg0561,urn:cts:greekLit:tlg0561:,Longus,Longus
urn:cite:chs:textgroup.tlg0562,urn:cts:greekLit:tlg0562:,"Marcus Aurelius Antoninus Imperator","Marcus Aurelius"
urn:cite:chs:textgroup.tlg0563,urn:cts:greekLit:tlg0563:,Maximus,"Maximus of Tyre"
urn:cite:chs:textgroup.tlg0564,urn:cts:greekLit:tlg0564:,Rufus,"Rufus (of Ephesus)"
urn:cite:chs:textgroup.tlg0565,urn:cts:greekLit:tlg0565:,Soranus,Soranus
urn:cite:chs:textgroup.tlg0568,urn:cts:greekLit:tlg0568:,Antigonus,"Antigonus of Carystus"
urn:cite:chs:textgroup.tlg0569,urn:cts:greekLit:tlg0569:,Apollonius,"Apollonius The Paradoxographer"
urn:cite:chs:textgroup.tlg0580,urn:cts:greekLit:tlg0580:,"Paradoxographus Florentinus","Florentius the Paradoxographer"
urn:cite:chs:textgroup.tlg0581,urn:cts:greekLit:tlg0581:,"Paradoxographus Palatinus","Palatinus the Paradoxographer"
urn:cite:chs:textgroup.tlg0582,urn:cts:greekLit:tlg0582:,"Paradoxographus Vaticanus","Vaticanus the Paradoxographer"
urn:cite:chs:textgroup.tlg0585,urn:cts:greekLit:tlg0585:,"Publius Aelius Phlegon",Phlegon
urn:cite:chs:textgroup.tlg0592,urn:cts:greekLit:tlg0592:,Hermogenes,Hermogenes
urn:cite:chs:textgroup.tlg0594,urn:cts:greekLit:tlg0594:,Alexander,"Alexander Numenius"
urn:cite:chs:textgroup.tlg0597,urn:cts:greekLit:tlg0597:,Zenodorus,"Zenodorus Grammaticus"
urn:cite:chs:textgroup.tlg0606,urn:cts:greekLit:tlg0606:,Rufus,Rufus
urn:cite:chs:textgroup.tlg0607,urn:cts:greekLit:tlg0607:,"Aelius Theon","Aelius Theon"
urn:cite:chs:textgroup.tlg0609,urn:cts:greekLit:tlg0609:,"Tryphon I",Tryphon
urn:cite:chs:textgroup.tlg0612,urn:cts:greekLit:tlg0612:,"Dio Chrysostomus","Dio Chrysostom"
urn:cite:chs:textgroup.tlg0613,urn:cts:greekLit:tlg0613:,Demetrius,"Demetrius (of Phalerum)"
urn:cite:chs:textgroup.tlg0614,urn:cts:greekLit:tlg0614:,"Valerius Babrius","Valerius Babrius"
urn:cite:chs:textgroup.tlg0615,urn:cts:greekLit:tlg0615:,Aspasius,Aspasius
urn:cite:chs:textgroup.tlg0616,urn:cts:greekLit:tlg0616:,Polyaenus,Polyenus
urn:cite:chs:textgroup.tlg0624,urn:cts:greekLit:tlg0624:,Demetrius,Demetrius
urn:cite:chs:textgroup.tlg0627,urn:cts:greekLit:tlg0627:,"Hippocrates Et Corpus Hippocraticum","Hippocrates and Pseudo Hippocrates"
